Customer ID,Recency,Frequency,Monetary,KM_AE
12346.0,165,11,372.86,0
12347.0,3,2,1323.32,0
12348.0,74,1,222.16,0
12349.0,43,3,2671.14,0
12351.0,11,1,300.93,0
12352.0,11,2,343.8,0
12353.0,44,1,317.76,0
12355.0,203,1,488.21000000000004,2
12356.0,16,3,3560.3,0
12357.0,24,2,12079.99,0
12358.0,11,3,2719.01,0
12359.0,61,6,2563.36,0
12360.0,15,5,1590.83,0
12361.0,98,3,321.35,0
12362.0,374,1,130.0,2
12366.0,269,1,500.24,2
12368.0,264,1,917.6999999999999,2
12369.0,49,3,1791.15,0
12370.0,260,3,774.62,2
12371.0,45,3,2179.42,0
12373.0,260,2,763.0500000000001,2
12374.0,57,3,2246.29,0
12376.0,25,2,503.15,0
12377.0,17,2,1798.2,0
12378.0,198,1,1407.7,2
12379.0,58,2,767.98,0
12380.0,101,7,6951.49,0
12385.0,15,1,1938.4,0
12386.0,2,1,258.9,0
12387.0,51,1,143.94,0
12388.0,81,2,1120.45,0
12389.0,38,3,1433.33,0
12391.0,100,5,2285.18,0
12392.0,227,1,234.75000000000003,2
12393.0,18,2,816.85,0
12395.0,7,4,2048.64,0
12396.0,310,1,931.43,2
12399.0,21,3,853.65,0
12400.0,50,1,205.25,0
12402.0,28,5,1031.3,0
12403.0,157,1,591.6600000000001,2
12404.0,318,1,63.24,2
12406.0,35,3,2975.06,0
12408.0,21,3,1452.22,0
12409.0,56,4,12346.619999999999,0
12410.0,138,1,320.38,2
12411.0,45,1,346.9,0
12412.0,38,3,1370.05,0
12413.0,38,1,241.35,0
12414.0,99,3,390.0,0
12415.0,11,7,19543.84,0
12416.0,292,1,202.56,2
12417.0,46,11,3148.31,0
12418.0,49,3,1352.62,0
12419.0,21,2,503.01,0
12421.0,51,2,291.56,0
12422.0,30,14,4428.24,0
12423.0,23,2,763.08,0
12424.0,58,2,1579.07,0
12425.0,84,1,964.21,0
12426.0,298,1,762.48,2
12427.0,7,1,303.5,0
12429.0,1,5,3735.51,0
12431.0,9,13,4370.52,0
12433.0,2,5,7205.39,0
12434.0,17,1,297.29,0
12435.0,32,4,6096.04,0
12437.0,31,21,7731.99,0
12439.0,318,2,1142.88,2
12440.0,98,2,859.2,0
12441.0,2,1,173.55,0
12443.0,368,1,485.31,2
12445.0,56,1,301.58000000000004,0
12449.0,46,2,768.6,0
12450.0,35,3,490.32,0
12451.0,99,3,3634.36,0
12454.0,31,4,13151.44,0
12455.0,81,4,3413.09,0
12457.0,71,1,632.68,0
12458.0,63,2,830.09,0
12459.0,241,1,454.36,2
12460.0,92,1,326.65,0
12466.0,318,1,56.73,2
12467.0,59,1,132.8,0
12468.0,162,3,2941.2,2
12469.0,158,2,3070.54,2
12470.0,325,1,211.95,2
12471.0,10,49,20129.54,0
12472.0,5,13,11308.48,0
12474.0,14,13,5048.66,0
12475.0,45,1,426.26,0
12476.0,32,12,7267.49,0
12477.0,35,3,7056.63,0
12480.0,35,3,2183.2200000000003,0
12481.0,1,6,6765.07,0
12482.0,212,29,23691.4,2
12483.0,14,11,2612.2000000000003,0
12484.0,119,6,1826.78,0
12485.0,165,1,708.1,2
12486.0,67,1,1037.28,0
12487.0,366,1,285.29999999999995,2
12490.0,14,11,4405.71,0
12492.0,39,1,452.0,0
12494.0,1,3,626.77,0
12495.0,276,1,357.4,2
12496.0,256,2,45.34,2
12497.0,36,2,5205.400000000001,0
12499.0,196,1,393.72,2
12500.0,71,8,1697.39,0
12503.0,220,1,1126.0,2
12504.0,53,2,297.0,0
12505.0,44,1,955.2,0
12507.0,220,1,539.25,2
12510.0,95,7,4195.45,0
12511.0,64,1,3084.02,0
12514.0,277,1,580.08,2
12516.0,66,2,1336.56,0
12519.0,112,1,385.7,0
12523.0,10,12,2562.58,0
12524.0,24,9,6640.39,0
12525.0,134,3,973.73,0
12527.0,130,2,386.8,0
12529.0,164,1,316.48,2
12530.0,51,5,2096.98,0
12531.0,322,1,1807.98,2
12533.0,263,2,1367.89,2
12537.0,44,1,732.94,0
12538.0,14,1,276.5,0
12539.0,86,3,5646.400000000001,0
12540.0,14,16,8854.25,0
12542.0,120,2,481.88,0
12543.0,84,1,980.25,0
12547.0,136,1,175.78,2
12549.0,211,6,1575.68,2
12553.0,21,2,916.47,0
12554.0,84,1,468.5,0
12555.0,318,1,129.23,2
12557.0,7,4,6725.18,0
12562.0,21,2,1185.18,0
12563.0,44,1,249.24,0
12567.0,3,7,4308.58,0
12568.0,280,1,70.0,2
12570.0,318,1,77.52,2
12573.0,17,4,556.87,0
12575.0,93,2,622.8199999999999,0
12576.0,28,3,826.89,0
12577.0,17,5,990.5,0
12578.0,21,2,1847.94,0
12580.0,212,1,637.2,2
12582.0,58,2,1469.04,0
12583.0,9,13,7166.0599999999995,0
12586.0,10,3,1865.73,0
12588.0,35,3,743.88,0
12589.0,57,6,4048.98,0
12591.0,26,2,886.1,0
12592.0,155,3,2145.06,2
12594.0,14,5,1751.89,0
12595.0,140,1,299.02,2
12598.0,99,3,1511.01,0
12599.0,17,6,1264.14,0
12600.0,7,12,2444.88,0
12601.0,40,1,104.19999999999999,0
12605.0,12,4,1232.95,0
12606.0,318,1,21.0,2
12608.0,40,1,415.79,0
12609.0,10,6,2309.01,0
12613.0,24,5,3472.9900000000002,0
12615.0,49,4,3449.79,0
12616.0,24,1,417.8,0
12619.0,196,1,140.14,2
12621.0,1,16,11086.14,0
12623.0,52,6,3442.7400000000002,0
12625.0,145,2,2481.06,2
12629.0,21,2,1558.22,0
12631.0,92,5,2841.07,0
12632.0,156,2,804.88,2
12633.0,18,3,3514.18,0
12634.0,171,2,490.0,2
12635.0,28,2,1241.23,0
12636.0,374,1,141.0,2
12637.0,14,4,2280.91,0
12638.0,275,1,249.8,2
12639.0,70,2,826.27,0
12643.0,21,6,4960.18,0
12644.0,66,3,1440.58,0
12645.0,45,4,1764.12,0
12647.0,3,27,14201.53,0
12648.0,73,3,793.95,0
12649.0,18,5,1671.1399999999999,0
12651.0,14,3,263.75,0
12652.0,70,1,97.05000000000001,0
12653.0,162,1,1950.98,2
