TSNE1,TSNE2,KM_AE
20.789616,59.5809,0
10.682234,-61.19302,0
-40.79609,7.0926867,0
0.93557245,-20.109615,0
-23.586712,-71.25246,0
-2.2392802,-64.26003,0
-58.918816,-19.787743,0
18.126225,36.470688,2
19.077242,-30.487776,0
23.541039,-0.101862565,0
19.729816,-36.827698,0
8.532787,-3.1222968,0
23.397764,-31.852093,0
-12.218562,8.345556,0
-54.63803,27.489775,2
-17.718233,54.0652,2
-11.064595,53.714203,2
-3.0966492,-18.715818,0
-6.201938,53.689453,2
-0.99251145,-20.031227,0
-7.8426013,53.20482,2
-2.8999698,-11.75031,0
-13.508433,-46.837406,0
3.1068432,-45.947598,0
17.605835,46.840126,2
-27.594597,-13.352574,0
8.001869,7.8908243,0
-7.0301056,-55.221333,0
-19.36637,-77.53956,0
-64.170815,-9.699566,0
-23.268555,2.9235091,0
-2.581987,-26.025154,0
-0.24869111,6.181539,0
2.8272557,37.739258,2
-7.6657224,-55.245125,0
30.428488,-38.675976,0
-15.000011,74.64446,2
2.1289299,-44.424458,0
-63.84102,-10.50721,0
12.939177,-29.164045,0
37.092796,52.108776,2
-12.291657,78.74907,2
10.184259,-23.84848,0
6.8577933,-35.92488,0
24.45641,4.3866167,0
-10.083901,27.221107,2
-59.59629,-18.029417,0
-2.9243436,-26.146978,0
-53.719604,-27.276495,0
-11.886153,8.520641,0
57.186726,21.952232,0
-21.669716,67.23951,2
23.6349,0.12041442,0
-5.762169,-18.758743,0
-12.093643,-50.245335,0
-28.423357,-19.765903,0
30.709137,8.268378,0
-11.234984,-47.49017,0
-12.041985,-13.570558,0
-24.295439,7.318031,0
-19.296995,70.08857,2
-21.15175,-74.379845,0
40.478825,-25.847294,0
35.942913,9.220039,0
40.461044,-7.8659134,0
-35.15524,-59.59038,0
16.510696,-6.641688,0
58.193687,21.71017,0
-12.092744,73.282036,2
-17.89816,10.88748,0
-19.632956,-77.80076,0
-51.511578,32.65504,2
-62.199974,-2.5533705,0
-24.50112,-23.746214,0
-5.803794,-31.093431,0
-1.2043661,6.758542,0
26.45169,5.2949677,0
2.3005307,1.356211,0
-41.079582,4.0580034,0
-26.630083,-9.400522,0
-3.9242833,42.497868,2
-28.460697,18.329826,0
-12.313162,78.779465,2
-62.344593,0.58305746,0
24.66878,58.669262,2
25.628012,58.43135,2
-8.830637,79.31167,2
70.16571,16.813938,0
27.370842,15.854966,0
34.061474,9.145082,0
-59.296867,-17.430782,0
29.128668,8.488589,0
15.659663,-5.3463507,0
1.0116237,-26.067324,0
41.140648,-5.281916,0
66.985054,15.974466,2
38.847702,-2.192643,0
0.5811033,9.018622,0
36.096283,48.0577,2
-28.325804,-4.561423,0
-49.501,33.27026,2
37.20325,3.4074452,0
-55.44154,-27.26702,0
13.478365,-61.537624,0
-19.907902,57.82185,2
-8.383632,51.551147,2
9.183169,-10.997255,0
21.635286,36.055126,2
8.073905,-0.043318596,0
4.6503887,46.51865,2
-28.821636,-18.498579,0
-27.349764,-25.724613,0
7.6377707,36.51135,2
6.938849,6.192797,0
-12.710768,-6.848967,0
-19.656906,58.685806,2
-16.60357,-7.061464,0
-20.9422,24.713734,0
41.43558,1.4418601,0
33.5382,2.439704,0
-4.1800075,19.999895,0
-8.854922,22.05195,0
36.99232,48.691452,2
8.210426,-8.589062,0
-11.3406925,74.05406,2
-7.190516,54.226517,2
-58.20442,-16.564314,0
-33.502663,-62.672962,0
3.1037927,4.1924376,0
26.8894,15.794739,0
-10.779874,19.205324,0
-24.244968,7.2968583,0
-10.685359,27.388845,2
17.968014,56.49498,2
-9.959065,-48.001446,0
-30.605349,13.62477,0
-12.1499,78.372055,2
35.233395,-13.384478,0
-2.4352458,-44.607357,0
-59.28075,-20.158266,0
42.680122,-10.625889,0
-21.283035,59.559326,2
-12.285405,78.66209,2
15.328232,-44.887836,0
-19.903685,9.237541,0
-2.4714801,-35.069263,0
20.190794,-34.988747,0
0.58572173,-42.98205,0
12.467774,37.05618,2
-12.317792,-13.643769,0
31.694977,13.475584,0
18.231747,-45.940105,0
-5.0099077,-30.630455,0
14.862051,-2.7475338,0
-11.323093,-45.718826,0
26.41497,59.14308,2
24.277645,-31.335505,0
39.483795,57.457737,2
-8.474914,7.9064555,0
25.42382,-28.680696,0
42.36912,1.1672505,0
-54.675526,-25.59062,0
20.318396,-44.547928,0
-12.4337,78.88669,2
-55.7388,-26.526106,0
35.450638,-26.9105,0
25.26489,-18.864565,0
8.534835,-7.932468,0
-39.237396,-47.277603,0
21.772978,35.541065,2
57.902645,23.424368,0
13.600461,-4.486197,0
28.420248,60.08604,2
-0.8550575,-43.513145,0
2.1358988,4.346655,0
31.518713,55.949482,2
18.07036,-29.901838,0
27.63715,51.506992,2
-5.452552,-35.29806,0
-54.732296,27.574928,2
21.330437,-33.480434,0
-19.925209,57.12197,2
-25.321842,-2.687591,0
31.747635,-11.047401,0
-10.1735735,-8.633353,0
1.258948,-20.066467,0
65.319916,19.22069,0
-13.671887,-5.2046103,0
21.754955,-31.20063,0
5.404663,-51.79839,0
-44.388844,6.925368,0
29.507097,53.65421,2
-61.52603,0.43151325,0
